data-film-id,data-film-name,data-film-slug,data-film-release-year,data-film-link
3317,Uruvangal Maralam,uruvangal-maralam-1983,1983,https://letterboxd.com/film/uruvangal-maralam-1983
3318,Thanga Magan,thanga-magan,1983,https://letterboxd.com/film/thanga-magan
3319,Anbulla Rajinikanth,anbulla-rajinikanth,1984,https://letterboxd.com/film/anbulla-rajinikanth
3320,Nallavanukku Nallavan,nallavanukku-nallavan,1984,https://letterboxd.com/film/nallavanukku-nallavan
3321,Kai Kodukkum Kai,kai-kodukkum-kai,1984,https://letterboxd.com/film/kai-kodukkum-kai
3322,Thambikku Entha Ooru,thambikku-entha-ooru,1984,https://letterboxd.com/film/thambikku-entha-ooru
3323,Naan Sigappu Manithan,naan-sigappu-manithan,1985,https://letterboxd.com/film/naan-sigappu-manithan
3324,Sri Raghavendrar,sri-raghavendrar,1985,https://letterboxd.com/film/sri-raghavendrar
3325,Padikkadavan,padikkadavan,1985,https://letterboxd.com/film/padikkadavan
3326,Un Kannil Neer Vazhindal,un-kannil-neer-vazhindal,1985,https://letterboxd.com/film/un-kannil-neer-vazhindal
3327,Viduthalai,viduthalai,1986,https://letterboxd.com/film/viduthalai
3328,Mr. Bharath,mr-bharath,1986,https://letterboxd.com/film/mr-bharath
3329,Maaveeran,maaveeran,1986,https://letterboxd.com/film/maaveeran
3330,Naan Adimai Illai,naan-adimai-illai,1986,https://letterboxd.com/film/naan-adimai-illai
3331,Manathil Uruthi Vendum,manathil-uruthi-vendum,1987,https://letterboxd.com/film/manathil-uruthi-vendum
3332,Velaikkaran,velaikkaran-1987,1987,https://letterboxd.com/film/velaikkaran-1987
3333,Oorkavalan,oorkavalan,1987,https://letterboxd.com/film/oorkavalan
3334,Manithan,manithan,1987,https://letterboxd.com/film/manithan
3335,Dharmathin Thalaivan,dharmathin-thalaivan,1988,https://letterboxd.com/film/dharmathin-thalaivan
3336,Kodi Parakuthu,kodi-parakuthu,1989,https://letterboxd.com/film/kodi-parakuthu
3337,Guru Sishyan,guru-sishyan,1988,https://letterboxd.com/film/guru-sishyan
3338,Siva,siva,1989,https://letterboxd.com/film/siva
3339,Raja Chinna Roja,raja-chinna-roja,1989,https://letterboxd.com/film/raja-chinna-roja
3340,Panakkaran,panakkaran,1990,https://letterboxd.com/film/panakkaran
3341,Athisaya Piravi,athisaya-piravi,1990,https://letterboxd.com/film/athisaya-piravi
3342,Dharma Durai,dharma-durai,1991,https://letterboxd.com/film/dharma-durai
3344,Nattukku Oru Nallavan,nattukku-oru-nallavan,1991,https://letterboxd.com/film/nattukku-oru-nallavan
3346,Uzhaippali,uzhaippali,1993,https://letterboxd.com/film/uzhaippali
3348,Valli,valli,1993,https://letterboxd.com/film/valli
3349,Veera,veera,1994,https://letterboxd.com/film/veera
3350,Muthu,muthu,1995,https://letterboxd.com/film/muthu
3352,Arunachalam,arunachalam,1997,https://letterboxd.com/film/arunachalam
3354,Baba,baba,2002,https://letterboxd.com/film/baba
3356,Mannan,mannan,1992,https://letterboxd.com/film/mannan
3362,Chennai Kadhal,chennai-kadhal,2006,https://letterboxd.com/film/chennai-kadhal
3363,Shanti Enathu Shanti,shanti-enathu-shanti,1991,https://letterboxd.com/film/shanti-enathu-shanti
3364,Yuvan Yuvathi,yuvan-yuvathi,2011,https://letterboxd.com/film/yuvan-yuvathi
3366,Thambikku Indha Ooru,thambikku-indha-ooru,2010,https://letterboxd.com/film/thambikku-indha-ooru
3367,Pazhani,pazhani,2008,https://letterboxd.com/film/pazhani
3369,Muniyandi Vilangial Moonramandu,muniyandi-vilangial-moonramandu,2008,https://letterboxd.com/film/muniyandi-vilangial-moonramandu
3370,Pettredutha Pillai,pettredutha-pillai,1993,https://letterboxd.com/film/pettredutha-pillai
3371,Kanden Kadhalai,kanden-kadhalai,2009,https://letterboxd.com/film/kanden-kadhalai
3372,Aarumugam,aarumugam,2009,https://letterboxd.com/film/aarumugam
3373,Veyyil,veyyil,2006,https://letterboxd.com/film/veyyil
3374,Nepali,nepali,2008,https://letterboxd.com/film/nepali
3375,En Thangai Kalyani,en-thangai-kalyani,1990,https://letterboxd.com/film/en-thangai-kalyani
3376,Thai Thangai Paasam,thai-thangai-paasam,1995,https://letterboxd.com/film/thai-thangai-paasam
3377,Samsara Sangeetham,samsara-sangeetham,1989,https://letterboxd.com/film/samsara-sangeetham
3378,Seval,seval,2008,https://letterboxd.com/film/seval
3379,Monishaa En Monalisa,monishaa-en-monalisa,1999,https://letterboxd.com/film/monishaa-en-monalisa
3381,Oru Thayin Sabhatham,oru-thayin-sabhatham,1987,https://letterboxd.com/film/oru-thayin-sabhatham
3382,Kadhal Azhivathillai,kadhal-azhivathillai,2002,https://letterboxd.com/film/kadhal-azhivathillai
3384,Iruttu Araiyil Murattu Kuthu,iruttu-araiyil-murattu-kuthu,2018,https://letterboxd.com/film/iruttu-araiyil-murattu-kuthu
3390,Vaanam,vaanam,2011,https://letterboxd.com/film/vaanam
3393,Azhagar Samiyin Kuthirai,azhagar-samiyin-kuthirai,2011,https://letterboxd.com/film/azhagar-samiyin-kuthirai
3400,Nerrukku Ner,nerrukku-ner,1997,https://letterboxd.com/film/nerrukku-ner
4053,Singam,singam,2010,https://letterboxd.com/film/singam
6018,New,new,2004,https://letterboxd.com/film/new
6028,Hey Ram,hey-ram,2000,https://letterboxd.com/film/hey-ram
6029,Ayya,ayya,2005,https://letterboxd.com/film/ayya
6689,Pokkiri,pokkiri,2007,https://letterboxd.com/film/pokkiri
7099,Kadhalan,kadhalan,1994,https://letterboxd.com/film/kadhalan
7585,Kaavalan,kaavalan,2011,https://letterboxd.com/film/kaavalan
10109,Aadhavan,aadhavan,2009,https://letterboxd.com/film/aadhavan
10370,Mynaa,mynaa,2010,https://letterboxd.com/film/mynaa
10371,Baana Kaathadi,baana-kaathadi,2010,https://letterboxd.com/film/baana-kaathadi
10373,Easan,easan,2010,https://letterboxd.com/film/easan
10376,Milaga,milaga,2010,https://letterboxd.com/film/milaga
10426,Chikku Bukku,chikku-bukku,2010,https://letterboxd.com/film/chikku-bukku
10514,Kanimozhi,kanimozhi,2010,https://letterboxd.com/film/kanimozhi
10593,Mandhira Punnagai,mandhira-punnagai,2010,https://letterboxd.com/film/mandhira-punnagai
11627,Raavanan,raavanan,2010,https://letterboxd.com/film/raavanan
11687,Saroja,saroja,2008,https://letterboxd.com/film/saroja
11824,TN 07 AL 4777,tn-07-al-4777,2009,https://letterboxd.com/film/tn-07-al-4777
12110,Anjathe,anjathe,2008,https://letterboxd.com/film/anjathe
12113,E,e-2006,2006,https://letterboxd.com/film/e-2006
12116,Kuruvi,kuruvi,2008,https://letterboxd.com/film/kuruvi
12807,Chandramukhi,chandramukhi,2005,https://letterboxd.com/film/chandramukhi
13248,Manmadhan Ambu,manmadhan-ambu,2010,https://letterboxd.com/film/manmadhan-ambu
13981,Boss Engira Baskaran,boss-engira-baskaran,2010,https://letterboxd.com/film/boss-engira-baskaran
14800,Naan Mahaan Alla,naan-mahaan-alla,2010,https://letterboxd.com/film/naan-mahaan-alla
15545,Goa,goa,2010,https://letterboxd.com/film/goa
16504,Baasha,baasha-1995,1995,https://letterboxd.com/film/baasha-1995
16541,Alaipayuthey,alaipayuthey,2000,https://letterboxd.com/film/alaipayuthey
16543,Panchatanthiram,panchatanthiram,2002,https://letterboxd.com/film/panchatanthiram
16544,Iruvar,iddaru,1997,https://letterboxd.com/film/iddaru
16545,Duet,duet,1994,https://letterboxd.com/film/duet
16547,Saamy,saamy,2003,https://letterboxd.com/film/saamy
16795,Vasool Raja MBBS,vasool-raja-mbbs,2004,https://letterboxd.com/film/vasool-raja-mbbs
16796,Sivakasi,sivakasi,2005,https://letterboxd.com/film/sivakasi
16798,Annamalai,annamalai,1992,https://letterboxd.com/film/annamalai
17286,The Terrorist,the-terrorist-1998,1998,https://letterboxd.com/film/the-terrorist-1998
17494,Padayappa,padayappa,1999,https://letterboxd.com/film/padayappa
17496,Minnale,minnale,2001,https://letterboxd.com/film/minnale
21114,Madrasapattinam,madrasapattinam,2010,https://letterboxd.com/film/madrasapattinam
23997,Kannathil Muthamittal,kannathil-muthamittal,2002,https://letterboxd.com/film/kannathil-muthamittal
24348,Abhiyum Naanum,abhiyum-naanum,2008,https://letterboxd.com/film/abhiyum-naanum
25165,Angadi Theru,angadi-theru,2010,https://letterboxd.com/film/angadi-theru
25167,Paiyaa,paiyaa,2010,https://letterboxd.com/film/paiyaa
25197,Sura,sura,2010,https://letterboxd.com/film/sura
25968,Vaaranam Aayiram,vaaranam-aayiram,2008,https://letterboxd.com/film/vaaranam-aayiram
26580,Vinnaithaandi Varuvaayaa,vinnaithaandi-varuvaayaa,2010,https://letterboxd.com/film/vinnaithaandi-varuvaayaa
28517,Aaru,aaru,2005,https://letterboxd.com/film/aaru
29050,Theeradha Vilaiyattu Pillai,theeradha-vilaiyattu-pillai,2010,https://letterboxd.com/film/theeradha-vilaiyattu-pillai
31104,Indian,indian,1996,https://letterboxd.com/film/indian
32287,Jeans,jeans,1998,https://letterboxd.com/film/jeans
32380,Nayakan,nayakan,1987,https://letterboxd.com/film/nayakan
32533,Thalapathi,thalapathi,1991,https://letterboxd.com/film/thalapathi
34944,Anbe Sivam,anbe-sivam,2003,https://letterboxd.com/film/anbe-sivam
35466,Bombay,bombay,1995,https://letterboxd.com/film/bombay
36270,Naadodigal,naadodigal,2009,https://letterboxd.com/film/naadodigal
36271,Unnaipol Oruvan,unnaipol-oruvan,2009,https://letterboxd.com/film/unnaipol-oruvan
36272,Kanthaswamy,kanthaswamy,2009,https://letterboxd.com/film/kanthaswamy
36765,7G Rainbow Colony,7g-rainbow-colony,2004,https://letterboxd.com/film/7g-rainbow-colony
36811,Villu,villu,2009,https://letterboxd.com/film/villu
37064,Sivaji: The Boss,sivaji-the-boss,2007,https://letterboxd.com/film/sivaji-the-boss
37215,Billa,billa,2007,https://letterboxd.com/film/billa
38385,Roja,roja,1992,https://letterboxd.com/film/roja
39265,Ayan,ayan,2009,https://letterboxd.com/film/ayan
39268,Guru En Aalu,guru-en-aalu,2009,https://letterboxd.com/film/guru-en-aalu
39311,Anniyan,anniyan,2005,https://letterboxd.com/film/anniyan
39335,Yavarum Nalam,yavarum-nalam,2009,https://letterboxd.com/film/yavarum-nalam
40716,Dasavatharam,dasavatharam,2008,https://letterboxd.com/film/dasavatharam
43085,Michael Madana Kama Rajan,michael-madana-kama-rajan,1990,https://letterboxd.com/film/michael-madana-kama-rajan
44642,Kuselan,kuselan,2008,https://letterboxd.com/film/kuselan
44656,Kadhal Desam,kadhal-desam,1996,https://letterboxd.com/film/kadhal-desam
47522,My Magic,my-magic,2008,https://letterboxd.com/film/my-magic
52833,Asal,asal,2010,https://letterboxd.com/film/asal
